PAGE_ID,PAGE_NAME,PAGE_MODE
889,test,Normal
890,ICT Config UI Demo,Normal
891,Form Demo,Modal Dialog
892,Solution Standard Fitment,Normal
893,Delete Predessors ,Modal Dialog
894,DEMO Tooltip for WAVE,Normal
895,Give Prompt-Get Output,Normal
896,DEMO Tooltip Page,Normal
897,Standard Fitment Detail page,Modal Dialog
898,Give Prompt-Get Output As chat,Normal
899,Give Prompt-Get Output,Normal
900,Home1,Normal
901,Request For Access,Modal Dialog
902,Give Prompt-Get Output,Normal
903,Login Page,Normal
904,Home1,Normal
905,Multiple LLM selection,Normal
906,AI's Database Assistance,Normal
907,Multiple LLMs selection,Normal
908,Generate EWS Image using AI,Normal
909,Ai Image Generation,Normal
910,Login Page copy,Normal
911,AI's Database Assistance version 2,Normal
912,User Management_o,Normal
913,AI's Database Assistance version 2.1,Normal
914,AI Discovery Center,Normal
915,Multiple LLMs selection(with files),Normal
916,Create Folder/Upload File in AI Discovery Center,Modal Dialog
917,Functional Configuration/FSD,Normal
918,System Requirements,Normal
919,AI's Database Assistance version 2.2,Normal
920,Upload File in AI Discovery Center,Modal Dialog
921,KDDs,Normal
922,Persona_o,Normal
923,LLM Keywords,Normal
924,Project User Stories,Normal
925,Component Integration,Normal
926,System Requirements,Normal
927,Project Hierarchy Sol,Normal
928,View Test Cases,Modal Dialog
929,Project Questionnaire,Normal
930,Component Integration,Normal
931,Integrated System,Normal
932,Process Flows Project,Normal
933,Project Node (L1) Sol,Modal Dialog
934,Project Node (L2) Sol,Modal Dialog
935,Project Node (L3) Sol,Modal Dialog
936,Component Reports,Normal
937,Component Config Workbook,Normal
938,TestCases Project,Normal
939,COMPONENT CONVERSION solution,Normal
940,KDD,Normal
941,Project Test Case Steps,Modal Dialog
942,Data Dictionary,Normal
943,KPIs Project,Normal
944,Test Cases Steps,Modal Dialog
945,Business Requirements,Normal
946,Edit File / Folder,Modal Dialog
947,Generate Specifications,Normal
948,Technical Specification,Normal
949,Business Requirements copy,Normal
950,AI Discovery Center(testing for edit delete),Normal
951,AI Chat Interface,Normal
952,AI Chat Interface(copy),Normal
953,Delete Folder/File,Modal Dialog
954,Component Integration-upload,Modal Dialog
955,Import for User Stories,Modal Dialog
956,Import component conversion,Modal Dialog
957,Graphs generation,Normal
958,Import for Reports,Modal Dialog
959,Upload Interface_o,Modal Dialog
960,Menu Options,Modal Dialog
961,Import KDD for Project_o,Modal Dialog
962,Import for KPI's,Modal Dialog
963,Import for config workbook,Modal Dialog
964,Graphs generation dynamic,Normal
965,AI Chat Interface,Normal
966,COMPONENT CONVERSION UPLOAD,Modal Dialog
967,AI Chat Interface,Normal
968,import_questionnaires,Modal Dialog
969,Graphs generation dynamic,Normal
970,Business Requirements,Modal Dialog
971,L4 Requirements,Modal Dialog
972,L4 User Stories,Modal Dialog
973,L4 Test Cases,Modal Dialog
974,Python_add_two_nos,Normal
975,Hello World,Normal
976,AI Chat Interface,Normal
977,AI Chat Interface,Normal
978,AI Chat Interface -copy,Normal
979,AI Chat Interface,Normal
980,Home1-Zoomfix,Normal
981,Industry,Normal
982,"Phases - Copy for testing, Rishabh.",Normal
983,Import Industry,Modal Dialog
984,Domain-Module copy,Normal
985,Early Warning System,Normal
986,"Phases - Copy for testing, new.",Normal
987,Project User Stories,Normal
988,Phases - Copy for testing manasi,Normal
989,System Requirements,Normal
990,"Phases - Copy for testing, Rishabh.",Normal
991,ganttchart copy,Normal
992,"Phases - Copy for testing, Rishabh.",Normal
993,ganttchart,Normal
994,File Upload,Modal Dialog
995,NEW EWS,Normal
996,File Upload Workshop,Modal Dialog
997,Deliverable Document,Modal Dialog
998,AI Led Execution Zone,Normal
999,Phases-copy,Normal
1000,Workshop Solution,Normal
1001,NEW EWS,Normal
1002,Prompts,Normal
1003,Etest,Normal
1004,View Document,Modal Dialog
1005,Roles Prompt,Normal
1006,Prompts Report,Normal
1007,Create Prompts,Modal Dialog
1008,view prompt,Modal Dialog
1009,Consolidated Prompt,Modal Dialog
1010,Manual FSD,Modal Dialog
1011,Phase Prompts,Normal
1012,upload FSD,Modal Dialog
1013,WIP-195,Normal
1014,WIP-195,Normal
1015,Deliverable Document -copy,Modal Dialog
1016,download,Normal
1017,Client Prompts,Normal
1018,Project Prompts,Normal
1019,Early Waring System New,Normal
1020,EWS Phase & Workstream,Normal
1021,tst_upload,Modal Dialog
1022,Early Waring System New,Normal
1023,AI Prompts ,Normal
1024,Blob File Data,Normal
1025,Prompts test,Normal
1026,EWS Phase & Workstream,Normal
1027,UPLOAD Template,Normal
1028,Prompt Details,Modal Dialog
1029,APEX API Gateway,Normal
1030,Learning Videos,Normal
1031,Learning video,Modal Dialog
1032,tst_upload_navin,Modal Dialog
1033,AI Led Execution Zone navin,Normal
1034,Visio Upload,Normal
1035,tst_upload_testing,Normal
1036,Integrated System Del,Normal
1037,KDDs,Normal
1038,Gen AI Key Details,Normal
1039,Gen API Key,Normal
1040,Deliverable Document,Normal
1041,Gen API Key,Normal
1042,Edit Gen API Key,Modal Dialog
1043,Edit User Gen Api Key,Modal Dialog
1044,VSD to PDF Preview POC,Normal
1045,tst_upload - mu,Modal Dialog
1046,tst_upload - mu,Modal Dialog
1047,AI Led Execution Zone-mu,Normal
1048,Yellow Confirmayion,Modal Dialog
1049,Test Menus - copy,Normal
1050,ICT AI Administration,Normal
1051,Manage Role Tst-copy,Normal
1052,Task Allocation,Normal
1053,Edit Task details - copy,Modal Dialog
1054,Edit Task details - copy1,Normal
1055,AI Led Execution Zone,Normal
1056,System Requirements,Normal
1057,Task Details New,Normal
1058,Component Config Workbook,Normal
1059,Edit Task details,Modal Dialog
1060,KDD Copy Page,Normal
1061,KDDs,Normal
1062,Predecessor,Modal Dialog
1063,Component Prompt,Modal Dialog
1064,ICT AI — Execution Status,Normal
1065,My Tasks Copy,Normal
1066,Baselined Predecessors,Modal Dialog
1067,Project Hierarchy,Normal
1068,Project Hierarchy,Normal
1069,KDDs,Modal Dialog
1070,Import KDD,Modal Dialog
1071,User Stories UI,Normal
1072,Business Requirements,Normal
1073,System Requirement,Normal
1074,Test Scenarios,Normal
1075,Test Steps,Normal
1076,Project User Stories UI,Normal
1077,TestCases Project UI,Normal
1078,Project Questionnaire UI,Normal
1079,Resource Utilization,Normal
1080,GenAI Key,Modal Dialog
1081,copy Data Dictionary,Normal
1082,Persona,Normal
1083,Domain-Module UI,Normal
1084,Industry UI,Normal
1085,Geography UI,Normal
1086,Business Requirements UI,Normal
1087,Review UI,Normal
1088,ICT AI Assistant Demo,Normal
1089,Home,Normal
1090,Test,Normal
1091,Maintain Project Redesign,Normal
1092,KDDs,Normal
1093,Deliverable Document,Modal Dialog
1094,download,Normal
9999,Login Page,Normal
10000,Administration,Normal
10100,Administration,Normal
10200,Administration,Normal
10210,Feedback,Modal Dialog
10211,Feedback Submitted,Modal Dialog
10212,Feedback Settings,Modal Dialog
10213,Manage Feedback,Modal Dialog
10214,Feedback,Modal Dialog
10300,Administration,Normal
10301,Test Master Detail Detail,Normal
